Entry	Entry Name
A0A0D2TS27	A0A0D2TS27_GOSRA
A0A0D2TVN3	A0A0D2TVN3_GOSRA
A0A0D2TVP3	A0A0D2TVP3_GOSRA
A0A0D2UUB7	A0A0D2UUB7_GOSRA
A0A0D3AHE9	A0A0D3AHE9_BRAOL
A0A0D3AHF6	A0A0D3AHF6_BRAOL
A0A0D3AHK9	A0A0D3AHK9_BRAOL
A0A0D3AHW1	A0A0D3AHW1_BRAOL
A0A0D3AIZ0	A0A0D3AIZ0_BRAOL
A0A0D3AKU2	A0A0D3AKU2_BRAOL
A0A0D3B2I2	A0A0D3B2I2_BRAOL
A0A0D3B7K8	A0A0D3B7K8_BRAOL
A0A0D3B8E3	A0A0D3B8E3_BRAOL
A0A0D3BQ99	A0A0D3BQ99_BRAOL
A0A0D3BR06	A0A0D3BR06_BRAOL
A0A0D3BTK9	A0A0D3BTK9_BRAOL
A0A0D3BTX6	A0A0D3BTX6_BRAOL
A0A0D3C310	A0A0D3C310_BRAOL
A0A0D3C4X2	A0A0D3C4X2_BRAOL
A0A0D3C5E0	A0A0D3C5E0_BRAOL
A0A0D3C6K6	A0A0D3C6K6_BRAOL
A0A0D3CIG1	A0A0D3CIG1_BRAOL
A0A0D3CL81	A0A0D3CL81_BRAOL
A0A0D3CLQ9	A0A0D3CLQ9_BRAOL
A0A0D3CPN8	A0A0D3CPN8_BRAOL
A0A0D3CTM7	A0A0D3CTM7_BRAOL
A0A0D3CVZ7	A0A0D3CVZ7_BRAOL
A0A0D3DPZ0	A0A0D3DPZ0_BRAOL
A0A0D3DQ53	A0A0D3DQ53_BRAOL
A0A0D3ECY7	A0A0D3ECY7_BRAOL
A0A0D3EGR3	A0A0D3EGR3_BRAOL
A0A0D3EH22	A0A0D3EH22_BRAOL
A0A0D3EHL9	A0A0D3EHL9_BRAOL
A0A0D3EUA5	A0A0D3EUA5_9ORYZ
A0A0D3F1R2	A0A0D3F1R2_9ORYZ
A0A0D3F5U5	A0A0D3F5U5_9ORYZ
