Entry	Entry Name
A0A075B589	A0A075B589_ROZAC
A0A077X082	A0A077X082_9FUNG
A0A078F159	A0A078F159_BRANA
A0A078G2B4	A0A078G2B4_BRANA
A0A078G479	A0A078G479_BRANA
A0A078GHH4	A0A078GHH4_BRANA
A0A078GS67	A0A078GS67_BRANA
A0A078GTT2	A0A078GTT2_BRANA
A0A078GYF4	A0A078GYF4_BRANA
A0A078GYV5	A0A078GYV5_BRANA
A0A078IHY0	A0A078IHY0_BRANA
A0A078II13	A0A078II13_BRANA
A0A078IMP4	A0A078IMP4_BRANA
A0A078IQQ0	A0A078IQQ0_BRANA
A0A078ISN5	A0A078ISN5_BRANA
A0A078J279	A0A078J279_BRANA
A0A078JDP7	A0A078JDP7_BRANA
A0A078JDZ4	A0A078JDZ4_BRANA
A0A084AHZ7	A0A084AHZ7_STACB
A0A084B387	A0A084B387_STACB
A0A084QSR1	A0A084QSR1_STAC4
A0A084QZ15	A0A084QZ15_STAC4
A0A086T968	A0A086T968_HAPC1
A0A087FWI2	A0A087FWI2_ARAAL
A0A087FYE6	A0A087FYE6_ARAAL
A0A087G0B9	A0A087G0B9_ARAAL
A0A087G428	A0A087G428_ARAAL
A0A087GKE9	A0A087GKE9_ARAAL
A0A087GP55	A0A087GP55_ARAAL
A0A087GRR9	A0A087GRR9_ARAAL
A0A087GV62	A0A087GV62_ARAAL
A0A087GZ28	A0A087GZ28_ARAAL
A0A087H0L4	A0A087H0L4_ARAAL
A0A087H276	A0A087H276_ARAAL
A0A087H4U9	A0A087H4U9_ARAAL
A0A087H511	A0A087H511_ARAAL
A0A087H573	A0A087H573_ARAAL
A0A087H7X9	A0A087H7X9_ARAAL
A0A087HCP5	A0A087HCP5_ARAAL
A0A087HIZ9	A0A087HIZ9_ARAAL
A0A087HPG0	A0A087HPG0_ARAAL
A0A0A0KDY9	A0A0A0KDY9_CUCSA
A0A0A0L413	A0A0A0L413_CUCSA
A0A0A0LBR9	A0A0A0LBR9_CUCSA
A0A0A1UWC0	A0A0A1UWC0_9HYPO
A0A0A7K8H2	A0A0A7K8H2_9FLAO
A0A0A9PMK3	A0A0A9PMK3_ARUDO
A0A0B0MXA3	A0A0B0MXA3_GOSAR
A0A0B2WUI7	A0A0B2WUI7_METAS
A0A0B2WVI8	A0A0B2WVI8_METAS
A0A0B2X8U8	A0A0B2X8U8_METRA
A0A0B4GTP4	A0A0B4GTP4_METAF
A0A0B4H744	A0A0B4H744_METGA
A0A0B4IHG7	A0A0B4IHG7_METMF
A0A0B7JZT3	A0A0B7JZT3_BIOOC
A0A0C2IC47	A0A0C2IC47_9PEZI
A0A0C2IIS8	A0A0C2IIS8_THEKT
A0A0C2JAI1	A0A0C2JAI1_THEKT
A0A0C2JAK2	A0A0C2JAK2_THEKT
A0A0C2JD24	A0A0C2JD24_THEKT
A0A0C2M7L5	A0A0C2M7L5_THEKT
A0A0C2MA22	A0A0C2MA22_THEKT
A0A0C2MKG3	A0A0C2MKG3_THEKT
A0A0C2MKT8	A0A0C2MKT8_THEKT
A0A0C2MV02	A0A0C2MV02_THEKT
A0A0C2MV12	A0A0C2MV12_THEKT
A0A0C2MX04	A0A0C2MX04_THEKT
A0A0C2N2N9	A0A0C2N2N9_THEKT
A0A0C2N8A2	A0A0C2N8A2_THEKT
A0A0C2NB63	A0A0C2NB63_THEKT
A0A0C2NE88	A0A0C2NE88_THEKT
A0A0C2NIB4	A0A0C2NIB4_THEKT
A0A0C2NLE5	A0A0C2NLE5_THEKT
A0A0C3HVV9	A0A0C3HVV9_OIDMZ
A0A0C9LZ25	A0A0C9LZ25_BLOB1
A0A0C9V851	A0A0C9V851_SPHS4
A0A0D0AQQ0	A0A0D0AQQ0_9AGAR
A0A0D1YRN0	A0A0D1YRN0_9EURO
A0A0D1YWY9	A0A0D1YWY9_9EURO
A0A0D2ANB3	A0A0D2ANB3_9PEZI
A0A0D2DG01	A0A0D2DG01_9EURO
A0A0D2DG43	A0A0D2DG43_9EURO
A0A0D2G6F4	A0A0D2G6F4_9EURO
A0A0D2IFT6	A0A0D2IFT6_9EURO
A0A0D2QSY4	A0A0D2QSY4_GOSRA
A0A0D2QYY8	A0A0D2QYY8_GOSRA
A0A0D2S0X2	A0A0D2S0X2_GOSRA
A0A0D2S0Z5	A0A0D2S0Z5_GOSRA
A0A0D3AD06	A0A0D3AD06_BRAOL
